Name,Dist_ID,District,Prov_ID,Province,Sect_ID,NO2_mean,CO_mean,SO2_mean,O3_mean
Bwishyura,31,Karongi,3,Western Province,3101,4.259543904010403e-05,0.031862842251818936,2.3870472938793746e-05,0.1187750139043211
Gashari,31,Karongi,3,Western Province,3102,4.127819110841922e-05,0.029935897108814766,9.099881195066584e-06,0.11857017112414638
Gishyita,31,Karongi,3,Western Province,3103,4.277185391322045e-05,0.03130989611913084,1.6821665734166864e-05,0.11865742640774903
Gitesi,31,Karongi,3,Western Province,3104,4.217244304235444e-05,0.029430467972922467,3.838858140934309e-05,0.118661206241252
Mubuga,31,Karongi,3,Western Province,3105,4.315456462853161e-05,0.031736219624071846,5.040337235630202e-06,0.11866388728247539
Murambi,31,Karongi,3,Western Province,3106,4.1950302846486316e-05,0.030983035125946877,2.952257879059888e-06,0.11856605634388433
Murundi,31,Karongi,3,Western Province,3107,4.119216506456945e-05,0.03082351418263468,4.957656433992371e-07,0.11850326795057962
Mutuntu,31,Karongi,3,Western Province,3108,4.171388433445951e-05,0.028717018826741065,7.936287189313385e-06,0.1185257273919816
Rubengera,31,Karongi,3,Western Province,3109,4.1457977610875824e-05,0.03086522609214056,1.86631394580408e-05,0.11860221819614851
Rugabano,31,Karongi,3,Western Province,3110,4.133804621491747e-05,0.029489149523809585,-1.0057973676344721e-05,0.11854025966917266
Ruganda,31,Karongi,3,Western Province,3111,4.10276575374344e-05,0.029687021314639243,2.030760236515521e-05,0.11861747492092016
Rwankuba,31,Karongi,3,Western Province,3112,4.188641311306972e-05,0.029075051785040423,1.6482676079017872e-05,0.11860409297309586
Twumba,31,Karongi,3,Western Province,3113,4.1565816837788204e-05,0.028394268168884275,9.61936188830746e-06,0.11849278909400515
Boneza,32,Rutsiro,3,Western Province,3201,3.9946371216197125e-05,0.031237576265588377,5.017676601544179e-05,0.118662737458255
Gihango,32,Rutsiro,3,Western Province,3202,3.945580048278527e-05,0.030108388182018428,3.269298959644698e-05,0.11857102090579805
Kigeyo,32,Rutsiro,3,Western Province,3203,3.926269989930809e-05,0.030079697152215593,2.380718598481536e-05,0.11853459483209362
Kivumu,32,Rutsiro,3,Western Province,3204,4.0772356600786676e-05,0.030830415297627606,6.910899272640991e-05,0.11855570488219849
Manihira,32,Rutsiro,3,Western Province,3205,3.965352384449521e-05,0.02852277312083139,5.904497479618989e-05,0.11848884553403748
Mukura,32,Rutsiro,3,Western Province,3206,4.0607990843809175e-05,0.02909664577518038,-3.051205732335263e-06,0.11839216065092398
Murunda,32,Rutsiro,3,Western Province,3207,3.9528838038634064e-05,0.027839395610224124,9.99913844333977e-06,0.11850717146211387
Musasa,32,Rutsiro,3,Western Province,3208,3.97603422555437e-05,0.031134468250488212,4.7447762954636536e-05,0.11865227899065724
Mushonyi,32,Rutsiro,3,Western Province,3209,3.9192739475417294e-05,0.030175773098891752,1.6429042413800145e-05,0.11863015642290342
Mushubati,32,Rutsiro,3,Western Province,3210,4.007132904626793e-05,0.03067508175021565,1.6837942985404807e-05,0.11855715638364449
Nyabirasi,32,Rutsiro,3,Western Province,3211,3.926012150757854e-05,0.028381197130241495,-1.2531170538750887e-05,0.11836277354652175
Ruhango,32,Rutsiro,3,Western Province,3212,3.942296585564883e-05,0.028385034015380877,-1.6743606562891665e-06,0.11853869980648496
Rusebeya,32,Rutsiro,3,Western Province,3213,4.0145732645127376e-05,0.028077668167011842,7.951442254862612e-06,0.11838526722009224
