system:index,NO2_column_number_density,month,sector,year,.geo
0_000000000000000000ad,3.53E-05,1,Rugerero,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000ae,3.33E-05,1,Bigogwe,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000af,3.27E-05,1,Jenda,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000b0,3.37E-05,1,Jomba,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000b1,3.21E-05,1,Kabatwa,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000b2,3.53E-05,1,Karago,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000b3,3.53E-05,1,Kintobo,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000b4,3.36E-05,1,Mukamira,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000b5,3.23E-05,1,Muringa,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000b6,3.35E-05,1,Rambura,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000b7,3.62E-05,1,Rugera,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000b8,3.65E-05,1,Rurembo,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000b9,3.45E-05,1,Shyira,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000ba,3.47E-05,1,Bwira,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000bb,3.55E-05,1,Gatumba,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000bc,3.63E-05,1,Hindiro,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000bd,3.40E-05,1,Kabaya,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000be,3.43E-05,1,Kageyo,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000bf,3.34E-05,1,Kavumu,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000c0,3.57E-05,1,Matyazo,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000c1,3.27E-05,1,Muhanda,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000c2,3.39E-05,1,Muhororo,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000c3,3.44E-05,1,Ndaro,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000c4,3.52E-05,1,Ngororero,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000c5,3.65E-05,1,Nyange,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000c6,3.38E-05,1,Sovu,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000c7,3.44E-05,1,Bugarama,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000c8,3.30E-05,1,Butare,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000c9,3.24E-05,1,Bweyeye,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000ca,3.27E-05,1,Gashonga,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000cb,3.46E-05,1,Giheke,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000cc,3.45E-05,1,Gihundwe,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000cd,3.32E-05,1,Gikundamvura,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000ce,3.26E-05,1,Gitambi,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000cf,3.52E-05,1,Kamembe,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000d0,3.32E-05,1,Muganza,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000d1,3.40E-05,1,Mururu,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000d2,3.62E-05,1,Nkanka,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000d3,3.59E-05,1,Nkombo,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000d4,3.43E-05,1,Nkungu,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000d5,3.29E-05,1,Nyakabuye,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000d6,3.41E-05,1,Nyakarenzo,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000d7,3.30E-05,1,Nzahaha,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000d8,3.24E-05,1,Rwimbogo,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000d9,3.59E-05,1,Bushekeri,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000da,3.69E-05,1,Bushenge,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
