Prov_ID,Province,Dist_ID,District,Sect_ID,Name,join_key,sector,non_poor,vulnerable,moderately_poor,severely_poor,total,count,district,poverty_rate,poverty_score,poor_population,severely_poor_population
2.0,Southern Province,25.0,Nyamagabe,2502.0,Cyanika,cyanika,Cyanika,40.6,27.7,27.3,4.5,100,27403,Nyamagabe,31.8,15.966666666666667,8714.154,1233.135
2.0,Southern Province,25.0,Nyamagabe,2502.0,Cyanika,cyanika,Cyanika,36.1,25.1,32.6,6.1,100,40938,Burera,38.7,18.099999999999998,15843.006000000001,2497.218
2.0,Southern Province,25.0,Nyamagabe,2503.0,Gasaka,gasaka,Gasaka,60.5,20.5,16.4,2.6,100,36379,Nyamagabe,19.0,10.183333333333332,6912.01,945.854
2.0,Southern Province,25.0,Nyamagabe,2504.0,Gatare,gatare,Gatare,24.0,28.8,36.1,11.1,100,17838,Nyamagabe,47.2,22.383333333333336,8419.536,1980.0179999999998
2.0,Southern Province,25.0,Nyamagabe,2505.0,Kaduha,kaduha,Kaduha,27.0,26.9,34.8,11.3,100,23844,Nyamagabe,46.099999999999994,21.733333333333334,10992.083999999999,2694.3720000000003
2.0,Southern Province,25.0,Nyamagabe,2506.0,Kamegeri,kamegeri,Kamegeri,28.4,32.1,31.7,7.9,100,14967,Nyamagabe,39.6,19.866666666666664,5926.932000000001,1182.393
2.0,Southern Province,25.0,Nyamagabe,2507.0,Kibirizi,kibirizi,Kibirizi,36.8,22.0,32.1,9.1,100,34480,Gisagara,41.2,18.916666666666668,14205.76,3137.68
2.0,Southern Province,25.0,Nyamagabe,2507.0,Kibirizi,kibirizi,Kibirizi,34.2,33.5,27.8,4.6,100,22044,Nyamagabe,32.4,17.150000000000002,7142.255999999999,1014.0239999999999
2.0,Southern Province,25.0,Nyamagabe,2508.0,Kibumbwe,kibumbwe,Kibumbwe,27.0,32.3,30.9,9.8,100,14131,Nyamagabe,40.7,20.583333333333332,5751.317000000001,1384.8380000000002
2.0,Southern Province,25.0,Nyamagabe,2509.0,Kitabi,kitabi,Kitabi,27.7,28.8,33.9,9.6,100,26391,Nyamagabe,43.5,20.9,11480.085,2533.5359999999996
2.0,Southern Province,25.0,Nyamagabe,2510.0,Mbazi,mbazi,Mbazi,47.5,23.3,23.4,5.8,100,37487,Huye,29.2,14.58333333333333,10946.204,2174.246
