sector,non_poor,vulnerable,moderately_poor,severely_poor,total,count,district
  Rwerere,41.3,26.6,27.5,4.6,100,20397,Burera
  Bukure,43.1,23.6,26.9,6.5,100,19089,Gicumbi
  Bwisige,36.6,32.3,27.5,3.6,100,17306,Gicumbi
  Byumba,57,21.7,18,3.3,100,43033,Gicumbi
  Cyumba,43.1,25,28,3.9,100,16806,Gicumbi
  Giti,35,25,30.5,9.5,100,16650,Gicumbi
  Kageyo,39.9,28.4,27.4,4.3,100,19969,Gicumbi
  Kaniga,48.3,23,24.7,4,100,16006,Gicumbi
  Manyagiro,37.1,26.3,31.3,5.2,100,21908,Gicumbi
  Miyove,33.1,27.6,33,6.4,100,20545,Gicumbi
  Mukarange,40.7,29.6,26.2,3.5,100,17718,Gicumbi
  Muko,42.4,26.3,25.8,5.5,100,20209,Gicumbi
  Mutete,43.5,26.6,24.8,5.1,100,27950,Gicumbi
  Nyamiyaga,35,25.5,32.4,7.1,100,20217,Gicumbi
  Nyankenke,38.5,28.3,30.1,3.2,100,23376,Gicumbi
  Rubaya,36.6,24.8,31.7,6.9,100,11812,Gicumbi
  Rukomo,38.1,31.8,25.3,4.8,100,27674,Gicumbi
  Rushaki,43.5,27,26,3.5,100,14571,Gicumbi
  Rutare,42,27.2,25.7,5,100,27606,Gicumbi
  Ruvune,36.2,27.4,29.6,6.8,100,22324,Gicumbi
  Rwamiko,46,25.6,24.6,3.8,100,14487,Gicumbi
  Shangasha,40.7,31.5,25.3,2.5,100,18082,Gicumbi
  Fumbwe,51.2,19.5,21.2,8.1,100,33544,Rwamagana
  Gahengeri,43.4,21.9,25.7,8.9,100,36463,Rwamagana
  Gishali,52.8,20.3,20.7,6.3,100,35720,Rwamagana
  Karenge,55,21,20.7,3.3,100,30062,Rwamagana
  Kigabiro,67,15.4,13.6,4,100,52218,Rwamagana
  Muhazi,60.7,18.6,16.5,4.2,100,35984,Rwamagana
  Munyaga,37.6,22.1,32,8.2,100,22272,Rwamagana
  Munyiginya,48.1,22.9,22.4,6.5,100,25043,Rwamagana
  Musha,40.7,23.1,27.6,8.5,100,27614,Rwamagana
  Muyumbu,63.3,18.5,14.5,3.6,100,60059,Rwamagana
  Mwulire,52.8,20.5,20.5,6.3,100,34788,Rwamagana
  Nyakaliro,62.1,19.1,15.7,3.2,100,38695,Rwamagana
  Nzige,42.6,23.7,26.7,6.9,100,20125,Rwamagana
  Rubona,38.4,24,28.1,9.5,100,31449,Rwamagana
  Gatunda,39.7,23.6,29.1,7.5,100,36547,Nyagatare
  Karama,34.2,26.6,31.1,8.1,100,33037,Nyagatare
  Karangazi,34.7,23.6,27.9,13.8,100,92748,Nyagatare
  Katabagemu,38.2,25,28.5,8.3,100,43261,Nyagatare
  Kiyombe,35,27.6,31.9,5.5,100,19273,Nyagatare
  Matimba,45.9,22,25,7,100,28442,Nyagatare
  Mimuri,36.5,24.7,29.2,9.6,100,36771,Nyagatare
  Mukama,30.9,28.1,32.2,8.9,100,26827,Nyagatare
  Musheri,29.9,25.2,32.3,12.6,100,34116,Nyagatare
  Nyagatare,52.8,19.2,20.8,7.2,100,82927,Nyagatare
  Rukomo,47.7,22.2,24.8,5.4,100,43649,Nyagatare
