sector,district,count,area_sqkm,population_density,non_poor,vulnerable,moderately_poor,severely_poor,poverty_rate,poverty_index,urban_rural_class,distance_to_major_road_km,road_density_km_per_sqkm,vulnerability_index,vulnerability_category
Cyeza,Muhanga,35812,57.02070059866113,628.0526128933758,51.3,23.5,22.3,2.9,25.2,17.68,Urban,0.7856874464934706,4.518445890491683,0.383977751127104,Low
Kabacuzi,Muhanga,30553,75.76460633662188,403.2621758008367,43.3,26.8,26.6,3.4,30.0,19.03,Urban,,3.9272092798321663,,
Kibangu,Muhanga,21089,47.76549994903947,441.5111329830032,41.0,26.1,28.5,4.4,32.9,19.630000000000003,Urban,,4.837197966231949,,
Kiyumba,Muhanga,26827,59.35817269204536,451.9512441729041,42.9,30.5,24.3,2.3,26.6,18.6,Urban,,4.701663259723287,,
Muhanga,Muhanga,29642,62.10672583491052,477.27520009335404,49.2,25.0,22.9,2.9,25.799999999999997,17.95,Urban,0.6922186789541981,3.0380475405421503,0.38978547923207185,Low
Mushishiro,Muhanga,21852,53.052492582656654,411.8939362925168,45.1,26.0,25.5,3.4,28.9,18.72,Urban,,3.245155578568962,,
Nyabinoni,Muhanga,17322,39.282149074025995,440.963654186975,25.7,32.0,35.6,6.7,42.300000000000004,22.330000000000002,Urban,,3.026492548192349,,
Nyamabuye,Muhanga,65673,29.701775431663545,2211.0799454092353,79.2,11.3,7.9,1.6,9.5,13.190000000000001,Urban,,6.3534561727823995,,
Nyarusange,Muhanga,28838,61.730006191275166,467.16340689555807,37.1,28.4,28.3,6.2,34.5,20.36,Urban,0.10961178016549165,2.590935625059362,0.47658711681840715,High
Rongi,Muhanga,32037,81.96453694871043,390.8641614122368,30.5,31.1,32.5,6.0,38.5,21.419999999999998,Urban,,3.5031070869990333,,
Rugendabari,Muhanga,19081,42.739526622741145,446.4485572904602,39.4,28.0,29.5,3.1,32.6,19.630000000000003,Urban,,3.142587130720415,,
Shyogwe,Muhanga,44109,36.011739828553885,1224.8505684533952,61.4,17.2,17.2,4.2,21.4,16.419999999999998,Urban,,6.280251420177326,,
Gacurabwenge,Kamonyi,38135,50.63584821291285,753.1225672304437,56.9,22.0,17.8,3.4,21.2,16.79,Urban,0.3108036364200976,3.7152504621599545,0.3652428798922028,Low
Karama,Huye,17802,37.65649169571293,472.7471731527953,38.5,30.3,26.1,5.2,31.3,19.82,Urban,,3.8507066782601735,,
Karama,Kamonyi,21261,37.65649169571293,564.6038449837986,50.3,25.5,21.6,2.7,24.3,17.69,Urban,,3.8507066782601735,,
Karama,Nyagatare,33037,37.65649169571293,877.3254892399112,34.2,26.6,31.1,8.1,39.2,21.310000000000002,Urban,,3.8507066782601735,,
Kayenzi,Kamonyi,26339,51.52491211049669,511.1896152974553,49.6,25.1,22.3,3.0,25.3,17.87,Urban,,4.354622975595949,,
Kayumbu,Kamonyi,18290,33.27818147822162,549.6093592725192,46.1,25.9,24.9,3.1,28.0,18.499999999999996,Urban,,3.329052927465817,,
Mugina,Kamonyi,47020,89.73411958911053,523.9924369381788,33.5,27.4,30.2,9.0,39.2,21.49,Urban,,2.798085388587652,,
Musambira,Kamonyi,43589,63.2255344017239,689.4208236033749,46.1,27.6,22.0,4.3,26.3,18.45,Urban,1.0467443953720394,3.522956396458233,0.38666120125662895,Low
Ngamba,Kamonyi,17158,31.407770965902973,546.2979215757506,41.4,29.2,25.9,3.4,29.299999999999997,19.11,Urban,,3.9644937245477836,,
Nyamiyaga,Kamonyi,46360,77.6492718758295,597.0435894638549,34.8,29.2,28.2,7.8,36.0,20.9,Urban,0.42445651407676527,3.7171323013205773,0.48184200859657483,High
Nyamiyaga,Gicumbi,20217,77.6492718758295,260.3630338263752,35.0,25.5,32.4,7.1,39.5,21.16,Urban,0.42445651407676527,3.7171323013205773,0.5069292665609415,Very High
